group,team
A,México
A,Sudáfrica
A,Corea del Sur
A,Dinamarca
B,Canadá
B,Qatar
B,Suiza
B,Italia
C,Brasil
C,Marruecos
C,Haití
C,Escocia
D,Estados Unidos
D,Paraguay
D,Australia
D,Turquía
E,Alemania
E,Curazao
E,Côte d'Ivoire
E,Ecuador
F,Países Bajos
F,Japón
F,Túnez
F,Polonia
G,Bélgica
G,Egipto
G,Irán
G,Nueva Zelanda
H,España
H,Cabo Verde
H,Arabia Saudita
H,Uruguay
I,Irak
I,Francia
I,Senegal
I,Noruega
J,Argentina
J,Argelia
J,Austria
J,Jordania
K,RD Congo
K,Portugal
K,Uzbekistán
K,Colombia
L,Inglaterra
L,Croacia
L,Ghana
L,Panamá
